Client Name,Fulfillment Location Name,Fulfillment Location City,Gate Entry ID,ASN ID,ASN Code,ASN Approved Quantity,GRN Date,GRN Start Time,Gate Entry Closed Time,Vendor Invoice No,Vendor Invoice Date,PO No,Parent Order ID,PO Date,Order Type,Vendor Name,Vendor City,Global SKU ID,Client SKU ID / EAN,SKU Desc,Brand,Category,Style,Size,Color,MRP,Recieved Qty,Pass Qty,Fail Qty,LR No,Vehicle No,HSN Code,Vendor Tin,Base Price,Received Value,IGST Rate,CGST Rate,SGST Rate,IGST Amount per Unit,CGST Amount per Unit,SGST Amount per Unit,Is Part of UOM
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171863869,MPP675NVYLAR,P675 Mens Solid Cargo Trackpant,TECHNOSPORT,Cargo Trackpants,P675,LAR,NVY,799.0,1,1,0,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,159.25,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171863868,MPP675NVY2XL,P675 Mens Solid Cargo Trackpant,TECHNOSPORT,Cargo Trackpants,P675,2XL,NVY,799.0,1,1,0,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,159.25,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171863433,MPP664ASHMED,P664 Mens Solid Trackpant,TECHNOSPORT,Trackpants,P664,MED,ASH,699.0,1,1,0,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,159.25,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171861475,MPP604NVY2XL,P604 Mens Solid Trackpant,TECHNOSPORT,Trackpants,P604,2XL,NVY,630.0,1,0,1,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,159.25,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171861470,MPP604LTGXLR,P604 Mens Solid Trackpant,TECHNOSPORT,Trackpants,P604,XLR,LTG,630.0,1,0,1,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,159.25,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171861469,MPP604LTGMED,P604 Mens Solid Trackpant,TECHNOSPORT,Trackpants,P604,MED,LTG,630.0,2,0,2,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,318.5,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171861450,MPP604CNGXLR,P604 Mens Solid Trackpant,TECHNOSPORT,Trackpants,P604,XLR,CNG,630.0,1,0,1,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,159.25,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171861447,MPP604CNG2XL,P604 Mens Solid Trackpant,TECHNOSPORT,Trackpants,P604,2XL,CNG,630.0,10,2,8,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,1592.5,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171861446,MPP604BTEXLR,P604 Mens Solid Trackpant,TECHNOSPORT,Trackpants,P604,XLR,BTE,630.0,3,1,2,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,477.75,,,,,,,False
TECHNO SPORTSWEAR PRIVATE LIMITED,wms_bagalur,BAGALUR,13102,,,,2026-04-07,2026-04-07 15:18:01.341000,,HOWH2/INT/00915(FBA RETURNS),2026-01-13,FBA RETURNS TIRUPUR OLD STOCK,FBA RETURNS TIRUPUR OLD STOCK,2026-04-07,PURCHASE,TSPL,TIRUPUR,1171861445,MPP604BTEMED,P604 Mens Solid Trackpant,TECHNOSPORT,Trackpants,P604,MED,BTE,630.0,6,0,6,N/A,N/A,61034300,33AAFCT5162N1Z1,159.25,955.5,,,,,,,False
