STYLE,Last 30 days sale qty,last 10 days sale qty
OR10,7667,3323
OR83,4642,1704
OR229,3833,1230
OR99,3527,1250
OR11,3411,1125
OR89,2919,974
OR17,2834,1102
OR81,2820,1016
OR46,2786,1185
PM86,2649,1299
OR86,2625,1115
P951,2594,1015
P747,2586,1034
P896,2553,1105
P808,2452,902
P870,2437,928
OR40,2366,863
OR60,2360,1062
OR39,2303,647
P864,2295,1163
P987,2178,941
P701,2176,943
OR53,2124,1053
OR226,2121,797
A201,2113,812
P824,2086,933
OR76,2060,676
OR63,2050,831
BACKPACK,1991,845
P845,1972,743
OR25,1967,908
WR89,1925,733
OR19,1877,706
P734,1806,630
P740,1771,572
OR299,1732,1554
P829,1729,688
P936,1718,639
P821,1694,602
W133,1694,637
P842,1662,615
P926,1647,574
OR59,1642,561
P722,1621,612
P735,1621,586
OR38,1588,575
P872,1553,628
OR75,1535,659
P933,1513,602
P935,1478,555
P834,1466,641
OR30,1452,527
P953,1450,1106
OR71,1431,498
OR206,1428,586
PM98,1427,580
W112,1403,498
WM16,1378,507
P945,1333,477
P919,1322,525
P675,1319,640
P911,1316,483
A102,1294,521
W183,1282,575
P590,1257,554
OR26,1253,517
PM92,1196,409
W142,1194,621
P878,1147,427
W150,1145,413
W186,1132,478
P939,1126,353
WM86,1123,636
P954,1109,472
OR16,1108,437
P848,1106,432
P949,1083,415
P658,1081,418
P946,1078,390
OR210,1068,367
P676,1057,341
P805,1040,449
W173,1028,350
P963,1014,297
BM86,1013,439
W148,1007,391
OR85,996,390
P721,993,462
P897,992,376
W155,983,334
OR15,971,351
P871,953,590
P822,934,478
P966,925,351
W145,912,299
A202,911,279
W160,903,372
OR55,898,348
BR25,886,379
