STYLE,Last 30 days sales, last 10 days sales 
OR10,"₹ 24,65,191"," ₹ 8,59,630.00 "
OR11,"₹ 19,88,240"," ₹ 6,92,594.00 "
OR13,"₹ 1,89,994"," ₹ 74,245.00 "
OR15,"₹ 9,16,887"," ₹ 3,10,464.00 "
OR16,"₹ 3,94,512"," ₹ 2,13,460.00 "
OR17,"₹ 9,83,944"," ₹ 4,25,293.00 "
OR19,"₹ 13,05,052"," ₹ 4,99,762.00 "
OR206,"₹ 9,05,322"," ₹ 3,07,935.00 "
OR209,"₹ 91,726"," ₹ 25,174.00 "
OR21,"₹ 37,470"," ₹ 14,604.00 "
OR210,"₹ 5,50,072"," ₹ 2,03,004.00 "
OR211,"₹ 2,63,425"," ₹ 1,13,676.00 "
OR219,"₹ 41,461"," ₹ 11,733.00 "
OR226,"₹ 14,25,001"," ₹ 4,78,636.00 "
OR229,"₹ 35,88,227"," ₹ 12,62,685.00 "
OR23,"₹ 1,31,996"," ₹ 34,472.00 "
OR24,"₹ 1,31,178"," ₹ 41,258.00 "
OR25,"₹ 11,12,109"," ₹ 4,07,737.00 "
OR257,"₹ 3,00,689"," ₹ 1,63,408.00 "
OR259,"₹ 93,515"," ₹ 58,094.00 "
OR26,"₹ 6,02,185"," ₹ 2,15,646.00 "
OR27,"₹ 78,416"," ₹ 26,436.00 "
OR29,"₹ 4,31,198"," ₹ 1,82,985.00 "
OR30,"₹ 5,55,405"," ₹ 1,80,328.00 "
OR37,"₹ 3,62,934"," ₹ 1,15,894.00 "
OR38,"₹ 9,19,475"," ₹ 2,88,354.00 "
OR39,"₹ 33,54,620"," ₹ 8,79,974.00 "
OR40,"₹ 10,96,229"," ₹ 4,06,207.00 "
OR41,"₹ 5,95,205"," ₹ 1,74,991.00 "
OR45,"₹ 14,498"," ₹ 5,272.00 "
OR46,"₹ 12,30,862"," ₹ 4,84,358.00 "
OR47,"₹ 56,299"," ₹ 17,239.00 "
OR53,"₹ 4,11,719"," ₹ 1,67,098.00 "
OR54,"₹ 49,742"," ₹ 19,605.00 "
OR55,"₹ 7,26,386"," ₹ 2,35,912.00 "
OR56,"₹ 47,682"," ₹ 11,446.00 "
OR59,"₹ 6,38,913"," ₹ 2,33,409.00 "
OR60,"₹ 8,95,137"," ₹ 3,84,492.00 "
OR63,"₹ 2,44,859"," ₹ 88,009.00 "
OR64,"₹ 82,055"," ₹ 39,285.00 "
OR66,₹ 429,#N/A
OR67,"₹ 6,149"," ₹ 2,236.00 "
OR69,"₹ 14,408"," ₹ 7,216.00 "
OR71,"₹ 10,99,578"," ₹ 3,63,222.00 "
OR74,"₹ 7,630"," ₹ 3,270.00 "
OR76,"₹ 13,91,763"," ₹ 5,28,867.00 "
OR81,"₹ 19,42,290"," ₹ 6,27,965.00 "
OR83,"₹ 8,14,316"," ₹ 5,72,170.00 "
OR84,"₹ 1,88,427"," ₹ 53,761.00 "
OR85,"₹ 7,29,803"," ₹ 2,35,703.00 "
OR86,"₹ 15,92,816"," ₹ 5,74,912.00 "
OR89,"₹ 25,97,379"," ₹ 9,29,456.00 "
OR95,"₹ 1,05,392"," ₹ 44,775.00 "
OR99,"₹ 23,14,457"," ₹ 9,73,572.00 "
P590,"₹ 9,03,943"," ₹ 3,12,808.00 "
P608,"₹ 2,72,706"," ₹ 1,73,013.00 "
P642,"₹ 83,675"," ₹ 24,536.00 "
P644,"₹ 11,796"," ₹ 3,495.00 "
P656,"₹ 1,45,985"," ₹ 83,509.00 "
P658,"₹ 7,13,628"," ₹ 2,41,392.00 "
P664,"₹ 33,260"," ₹ 6,990.00 "
P666,"₹ 1,45,608"," ₹ 40,333.00 "
P675,"₹ 6,60,288"," ₹ 2,89,009.00 "
P676,"₹ 8,62,409"," ₹ 3,39,935.00 "
P701,"₹ 7,59,576"," ₹ 3,81,046.00 "
