GRN Date,Client SKU ID / EAN,Category,Style,Size,Color,MRP,Recieved Qty
02-08-2026,MTOR11OFW2XL,T-shirt,OR11,2XL,OFW,479,2
02-08-2026,MPP590NVY2XL,Trackpants,P590,2XL,NVY,699,1
02-08-2026,MPP590NVYXLR,Trackpants,P590,XLR,NVY,699,1
02-08-2026,MPP590NVYLAR,Trackpants,P590,LAR,NVY,699,1
02-08-2026,MPP590NVYMED,Trackpants,P590,MED,NVY,699,1
02-08-2026,MPOR19LGMXLR,Trackpants,OR19,XLR,LGM,659,1
02-08-2026,MPOR19LGMMED,Trackpants,OR19,MED,LGM,659,1
02-08-2026,MPOR19BLMMED,Trackpants,OR19,MED,BLM,659,1
02-08-2026,WTW105PCHXLR,T-shirt,W105,XLR,PCH,339,1
02-08-2026,WTW105PCHMED,T-shirt,W105,MED,PCH,339,1
02-08-2026,MIOR53IRG2XL,Trunks,OR53,2XL,IRG,199,3
02-08-2026,MJPM86NVYMED,Jacket,PM86,MED,NVY,829,1
10-08-2026,MFWS102NVY10,Shoes,S102,10,NVY,1299,44
10-08-2026,MFWS102NVY09,Shoes,S102,9,NVY,1299,148
10-08-2026,MFWS102NVY08,Shoes,S102,8,NVY,1299,180
10-08-2026,MFWS102NVY07,Shoes,S102,7,NVY,1299,140
10-08-2026,MFWS102NVY06,Shoes,S102,6,NVY,1299,83
10-08-2026,MFWS102CBL101299,Shoes,S102,10,CBL,1299,8
10-08-2026,MFWS102CBL091299,Shoes,S102,9,CBL,1299,14
10-08-2026,MFWS102CBL081299,Shoes,S102,8,CBL,1299,16
10-08-2026,MFWS102CBL071299,Shoes,S102,7,CBL,1299,12
10-08-2026,MFWS102CBL061299,Shoes,S102,6,CBL,1299,4
10-08-2026,MFWS102BLK10,Shoes,S102,10,BLK,1299,6
10-08-2026,MFWS102BLK08,Shoes,S102,8,BLK,1299,16
10-08-2026,MFWS102BLK07,Shoes,S102,7,BLK,1299,92
10-08-2026,MFWS102BLK06,Shoes,S102,6,BLK,1299,12
02-08-2026,MPOR89BLKMED,Trackpants,OR89,MED,BLK,725,1
01-08-2026,MTOR10SKOXLR339,T-shirt,OR10,XLR,SKO,339,1
01-08-2026,MVP905GVELAR,GYM VEST,P905,LAR,GVE,339,2
04-08-2026,MTOR41BMMXLR,T-shirt,OR41,XLR,BMM,499,1
01-08-2026,MPP735BLKLAR929,Joggers,P735,LAR,BLK,929,1
01-08-2026,MTP864SKYLAR,T-SHIRT,P864,LAR,SKY,649,1
10-08-2026,MTOR10BLKLAR,T-shirt,OR10,LAR,BLK,319,1
09-08-2026,MPOR99KHILAR,Cargo Trackpants,OR99,LAR,KHI,699,1
01-08-2026,MTP701AGYMED,T-shirt,P701,MED,AGY,449,1
05-08-2026,MTOR71BLK3XL579,T-shirt,OR71,3XL,BLK,579,1
01-08-2026,WTW112CHASML005,T-shirt,W112,SML,CHA,379,1
02-08-2026,MPP664ASHMED,Trackpants,P664,MED,ASH,699,1
05-08-2026,MVP784LRGLAR,Innerwear Vest,P784,LAR,LRG,499,8
05-08-2026,MVP784LGNXLR,Innerwear Vest,P784,XLR,LGN,499,2
05-08-2026,MVP778AGMLAR,GYM VEST,P778,LAR,AGM,359,4
05-08-2026,MTP848AGMLAR,T-Shirt,P848,LAR,AGM,420,3
05-08-2026,MTP824KHIXLR002,T-shirt,P824,XLR,KHI,459,3
05-08-2026,MTP808SKOLAR,T-Shirt,P808,LAR,SKO,379,1
05-08-2026,MTP805TRNLAR,T-Shirt,P805,LAR,TRN,449,1
05-08-2026,MTP805BLKXLR,T-shirt,P805,XLR,BLK,449,1
