GRN Date,Client SKU ID / EAN,Category,Style,Size,Color,MRP,Recieved Qty
02-07-2026,MTP666YLW2XL004,T-shirt,P666,2XL,YLW,419,1
06-07-2026,MVP905WLGXLR,Innerwear Vest,P905,XLR,WLG,339,15
06-07-2026,MVP905WLGMED,Innerwear Vest,P905,MED,WLG,339,31
06-07-2026,MVP905WLGLAR,Innerwear Vest,P905,LAR,WLG,339,7
06-07-2026,MVP905UGYXLR,Innerwear Vest,P905,XLR,UGY,339,24
01-07-2026,MVP776WHTLAR,Innerwear Vest,P776,LAR,WHT,339,1
01-07-2026,MVP776WHT2XL,Innerwear Vest,P776,2XL,WHT,339,1
22-07-2026,MVP776MNBLAR,Innerwear Vest,P776,LAR,MNB,339,55
06-07-2026,MVP905UGYMED,Innerwear Vest,P905,MED,UGY,339,3
06-07-2026,MVP905UGYLAR,Innerwear Vest,P905,LAR,UGY,339,21
06-07-2026,MVP905UGY2XL,Innerwear Vest,P905,2XL,UGY,339,48
06-07-2026,MVP905TRNXLR,GYM VEST,P905,XLR,TRN,339,40
06-07-2026,MVP905TRNMED,GYM VEST,P905,MED,TRN,339,42
06-07-2026,MVP905TRNLAR,GYM VEST,P905,LAR,TRN,339,4
06-07-2026,MVP905TRN2XL,GYM VEST,P905,2XL,TRN,339,4
06-07-2026,MVP905TELXLR,Innerwear Vest,P905,XLR,TEL,339,46
06-07-2026,MVP905TELMED,Innerwear Vest,P905,MED,TEL,339,45
06-07-2026,MVP905TELLAR,Innerwear Vest,P905,LAR,TEL,339,88
06-07-2026,MVP905TEL2XL,Innerwear Vest,P905,2XL,TEL,339,42
06-07-2026,MVP905SKYXLR,GYM VEST,P905,XLR,SKY,339,32
06-07-2026,MVP905SKYMED,GYM VEST,P905,MED,SKY,339,31
06-07-2026,MVP905SKYLAR,GYM VEST,P905,LAR,SKY,339,17
06-07-2026,MVP905SKY2XL,GYM VEST,P905,2XL,SKY,339,32
06-07-2026,MVP905HBEXLR,GYM VEST,P905,XLR,HBE,339,44
06-07-2026,MVP905HBEMED,GYM VEST,P905,MED,HBE,339,66
06-07-2026,MVP905HBELAR,GYM VEST,P905,LAR,HBE,339,36
06-07-2026,MVP905HBE2XL,GYM VEST,P905,2XL,HBE,339,13
06-07-2026,MVP905GVEXLR,GYM VEST,P905,XLR,GVE,339,26
06-07-2026,MVP905GVEMED,GYM VEST,P905,MED,GVE,339,19
06-07-2026,MVP905GVELAR,GYM VEST,P905,LAR,GVE,339,49
06-07-2026,MVP905GVE2XL,GYM VEST,P905,2XL,GVE,339,39
06-07-2026,MVP905CFKXLR,Innerwear Vest,P905,XLR,CFK,339,4
06-07-2026,MVP905CFKMED,Innerwear Vest,P905,MED,CFK,339,4
