STYLE,LAST 30 DAYS, LAST 10 DAYS 
OR10,"₹ 23,19,633","₹ 7,21,124.00"
OR11,"₹ 18,94,334","₹ 6,15,789.00"
OR13,"₹ 1,89,282","₹ 65,635.00"
OR15,"₹ 8,90,680","₹ 2,93,371.00"
OR16,"₹ 3,12,110","₹ 1,79,861.00"
OR17,"₹ 8,35,594","₹ 3,55,773.00"
OR19,"₹ 11,81,540","₹ 4,72,648.00"
OR206,"₹ 8,76,312","₹ 2,74,095.00"
OR209,"₹ 1,00,668","₹ 28,629.00"
OR21,"₹ 33,795","₹ 10,340.00"
OR210,"₹ 4,97,413","₹ 1,66,176.00"
OR211,"₹ 2,45,571","₹ 97,502.00"
OR219,"₹ 32,725","₹ 7,853.00"
OR226,"₹ 13,52,816","₹ 4,20,999.00"
OR229,"₹ 33,71,121","₹ 10,85,285.00"
OR23,"₹ 1,25,127","₹ 28,521.00"
OR24,"₹ 1,37,267","₹ 41,114.00"
OR25,"₹ 10,17,429","₹ 3,46,457.00"
OR257,"₹ 2,22,906","₹ 1,48,424.00"
OR259,"₹ 63,998","₹ 35,731.00"
OR26,"₹ 5,69,902","₹ 1,88,914.00"
OR27,"₹ 77,100","₹ 23,798.00"
OR29,"₹ 3,54,879","₹ 1,63,574.00"
OR30,"₹ 5,30,580","₹ 1,55,176.00"
OR37,"₹ 3,90,424","₹ 96,490.00"
OR38,"₹ 8,94,587","₹ 2,65,349.00"
OR39,"₹ 34,12,586","₹ 8,81,535.00"
OR40,"₹ 10,18,536","₹ 3,31,763.00"
OR41,"₹ 6,04,822","₹ 1,58,710.00"
OR45,"₹ 14,498","₹ 3,954.00"
OR46,"₹ 11,09,935","₹ 3,78,193.00"
OR47,"₹ 55,281","₹ 13,617.00"
OR53,"₹ 3,43,647","₹ 1,15,455.00"
OR54,"₹ 44,773","₹ 19,355.00"
OR55,"₹ 6,84,438","₹ 2,07,917.00"
OR56,"₹ 43,358","₹ 10,774.00"
OR59,"₹ 5,96,246","₹ 1,88,231.00"
OR60,"₹ 7,99,911","₹ 3,54,802.00"
OR63,"₹ 2,43,784","₹ 67,692.00"
OR64,"₹ 68,773","₹ 29,119.00"
OR66,₹ 429,#N/A
OR67,"₹ 6,149","₹ 1,677.00"
OR69,"₹ 14,347","₹ 6,149.00"
OR71,"₹ 10,68,519","₹ 3,21,653.00"
OR74,"₹ 6,540","₹ 2,725.00"
OR76,"₹ 12,96,413","₹ 3,99,175.00"
OR81,"₹ 18,55,780","₹ 5,35,443.00"
OR83,"₹ 6,09,397","₹ 4,07,192.00"
OR84,"₹ 1,87,449","₹ 51,299.00"
OR85,"₹ 7,34,951","₹ 2,26,807.00"
OR86,"₹ 14,83,096","₹ 5,15,275.00"
OR89,"₹ 24,38,875","₹ 7,46,446.00"
OR95,"₹ 94,515","₹ 40,288.00"
OR99,"₹ 21,03,488","₹ 7,43,164.00"
P590,"₹ 9,11,521","₹ 3,08,894.00"
P608,"₹ 1,97,892","₹ 1,52,621.00"
P642,"₹ 91,281","₹ 22,702.00"
P644,"₹ 11,796","₹ 2,796.00"
P656,"₹ 1,04,655","₹ 59,239.00"
P658,"₹ 6,83,726","₹ 2,10,535.00"
P664,"₹ 36,056","₹ 11,076.00"
P666,"₹ 1,49,564","₹ 33,595.00"
P675,"₹ 5,90,581","₹ 2,32,405.00"
P676,"₹ 8,34,811","₹ 3,01,468.00"
P701,"₹ 6,18,992","₹ 3,36,793.00"
P702,"₹ 2,06,082","₹ 61,292.00"
P706,"₹ 93,168","₹ 27,484.00"
P721,"₹ 7,42,101","₹ 2,27,840.00"
P722,"₹ 11,16,275","₹ 4,86,863.00"
P727,"₹ 6,767","₹ 2,042.00"
P734,"₹ 12,27,797","₹ 5,12,601.00"
P735,"₹ 12,45,355","₹ 3,72,842.00"
P740,"₹ 9,70,785","₹ 3,30,294.00"
P747,"₹ 8,55,052","₹ 3,14,082.00"
P752,"₹ 37,252","₹ 26,219.00"
P757,"₹ 3,619",₹ 987.00
P758,"₹ 2,443",₹ 698.00
P759,"₹ 2,48,516","₹ 52,981.00"
P771,"₹ 57,634","₹ 17,220.00"
P774,"₹ 1,47,382","₹ 61,195.00"
P776,"₹ 38,355","₹ 23,811.00"
P778,"₹ 1,34,237","₹ 48,954.00"
P779,"₹ 1,45,276","₹ 50,595.00"
P784,"₹ 2,91,744","₹ 1,22,543.00"
P790,"₹ 5,508",₹ 918.00
P805,"₹ 3,05,794","₹ 1,34,510.00"
P807,"₹ 17,155","₹ 4,229.00"
P808,"₹ 6,73,724","₹ 2,82,829.00"
